Red_Dot,Lat,Long
49,51.5343313338,-0.1682173296
48,51.4877515298,-0.1414371342
47,51.5080555277,-0.1533191027
46,51.5005336834,-0.1655424968
45,51.4959652751,-0.1545006241
44,51.4948571344,-0.1290882479
43,51.5162483227,-0.1329104793
42,51.5322529584,-0.1911686282
41,51.5292593236,-0.1983938951
40,51.5304084602,-0.2129677141
39,51.5171950842,-0.1974574843
38,51.5120102405,-0.1924451677
37,51.5252134532,-0.1659451849
36,51.5251126432,-0.1733156745
35,51.5220633401,-0.1819424013
34,51.5146137519,-0.1811148609
33,51.5165756187,-0.1702269399
32,51.5183909242,-0.1626735215
31,51.4927513763,-0.138033895
30,51.5190881005,-0.1486784399
29,51.5302207446,-0.1675749581
28,51.536185261,-0.182187222
27,51.5112963823,-0.1191712147
26,51.5079075725,-0.1403498863
25,51.5262810776,-0.2059068838
24,51.5122954682,-0.1444862016
23,51.510096939,-0.1345742654
22,51.5021733401,-0.1747202739
21,51.4907950482,-0.1496519636
20,51.4900645187,-0.1326882225
19,51.5032454679,-0.1499545756
18,51.4980762198,-0.143871987
17,51.5009898822,-0.1261366563
16,51.5073503775,-0.128034529
15,51.5160969604,-0.1874694979
14,51.5214272416,-0.1984147134
13,51.5200480603,-0.1789812803
12,51.5200480603,-0.1789812803
11,51.5229993296,-0.1945431985
10,51.5275402628,-0.1831370553
9,51.5103622254,-0.1857801534
8,51.5116145432,-0.175600077
7,51.5152792468,-0.1420136956
6,51.5139084944,-0.1538174296
5,51.513241497,-0.1599572772
4,51.5238034277,-0.1464973943
3,51.5200764457,-0.1704037399
2,51.5220687702,-0.1575091502
1,51.5306222398,-0.1766267468
